Shape,nsites,elements,nelements,composition,composition_reduced,formula_pretty,formula_anonymous,chemsys,volume,density,density_atomic,symmetry,material_id,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,is_stable,grain_boundaries,band_gap,cbm,vbm,efermi,is_gap_direct,is_metal,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,types_of_magnetic_species,k_vrh,g_vrh,e_total,e_ionic,e_electronic,n,e_ij_max,weighted_surface_energy_EV_PER_ANG2,weighted_surface_energy,weighted_work_function,surface_anisotropy,shape_factor,has_reconstructed,possible_species,theoretical
Shape,nsites,nelements,composition_reduced
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,Rb2 Na1 Ga1 Cl6
Cubic,5,3,Rb1 Ru1 O3
Cubic,10,4,Rb2 Sb1 Au1 Cl6
Cubic,10,4,Cs2 K1 As1 I6
Cubic,10,4,Sr2 V1 Sn1 O6
Cubic,10,4,Cs2 Na1 Cr1 Cl6
Monoclinic,60,4,Ca3 Mn2 W1 O9
Hexagonal,30,4,Ba3 Sr1 Nb2 O9
Cubic,10,4,Ba2 Pu1 Pa1 O6
Cubic,5,3,Rb1 Li1 O3
Cubic,10,3,In1 Ag3 F6
Orthorhombic,60,4,Ca1 Nd2 Mn3 O9
Orthorhombic,20,4,Y1 Er1 Al2 O6
Cubic,10,4,Rb2 Pr1 Cu1 I6
Monoclinic,40,4,La2 Ga1 Fe1 O6
Cubic,10,4,Cs2 K1 Ta1 F6
Cubic,10,3,K3 V1 F6
Cubic,10,4,Ba2 Ce1 Nb1 O6
Cubic,10,4,K2 Tl1 Hg1 Br6
Cubic,10,4,Cs2 Li1 Gd1 Cl6
Cubic,10,4,Rb2 Hg1 As1 I6
Cubic,10,4,Rb2 Li1 Tb1 Cl6
Cubic,5,3,Co1 Rh1 O3
Cubic,5,3,V1 Os1 O3
Cubic,10,4,Ca2 La1 Sb1 O6
Cubic,5,3,Zr1 B1 O3
Cubic,5,3,Co1 Ag1 F3
Trigonal,20,5,Sr3 La1 Ti2 Mn2 O12
Hexagonal,60,4,Ba2 Sr1 Ir3 O9
Cubic,10,3,Na3 Au1 F6
Cubic,10,4,Sr2 Eu1 Nb1 O6
Cubic,5,3,La3 In1 B1
Cubic,10,3,Rb3 As1 Cl6
Cubic,10,4,Ba2 Eu1 Re1 O6
Cubic,5,3,K3 Au1 O1
Cubic,10,4,Rb2 Na1 Pb1 F6
Cubic,10,4,Ba2 La1 Sb1 O6
Cubic,5,3,Er1 B1 Rh3
Cubic,10,4,Cs2 Na1 Ta1 Cl6
Cubic,10,4,K2 Li1 Pd1 F6
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,5,3,Er1 Cu1 O3
Monoclinic,20,4,Sr2 Dy1 Ta1 O6
Cubic,10,4,Cs2 Tl1 As1 F6
Cubic,10,4,Cs2 Tl1 Hg1 F6
Cubic,10,4,Cs2 In1 Bi1 Cl6
Cubic,10,4,Rb2 Na1 Sc1 F6
Cubic,10,4,Rb2 Na1 As1 Cl6
Cubic,10,4,Sr2 In1 Os1 O6
Cubic,40,4,Nd1 Eu2 Sb1 O6
Cubic,5,3,Ce3 Al1 O1
Cubic,10,4,Cs2 Eu1 Ag1 Cl6
Cubic,10,4,Na2 Eu1 Mn1 O6
Cubic,5,3,Er1 Cu1 O3
Cubic,10,4,Rb2 Na1 Ga1 Cl6
Cubic,5,3,Rb1 Ru1 O3
Cubic,10,4,Sr2 Pr1 V1 O6
Cubic,10,4,Ba2 Sn1 W1 O6
Tetragonal,10,4,Sr2 Ta1 Al1 O6
Cubic,10,4,Sr2 Dy1 Mn1 O6
Cubic,10,4,Ba2 Sm1 Fe1 O6
Cubic,5,3,Ho1 B1 O3
Cubic,5,3,Ca3 Pb1 O1
Cubic,5,3,K1 U1 O3
Orthorhombic,20,3,La1 Sc1 S3
Orthorhombic,20,3,Sc1 Cr1 O3
Cubic,10,4,Cs2 Rb1 In1 Br6
Cubic,10,4,Cs2 K1 Ta1 Br6
Orthorhombic,20,3,Eu1 Tm1 O3
Orthorhombic,20,3,Gd1 Ga1 O3
Cubic,5,3,Mg1 U1 O3
Monoclinic,20,4,Sr2 Ca1 Te1 O6
Cubic,5,3,Pr1 Co1 O3
Cubic,10,4,Sr2 Nd1 Nb1 O6
Monoclinic,20,4,La2 Nb1 Ni1 O6
Orthorhombic,20,3,Gd1 V1 O3
Monoclinic,34,3,Nd4 Ni3 O10
Cubic,10,3,Ba1 Ti1 O3
Cubic,10,4,Ba2 Dy1 Re1 O6
Cubic,10,4,Eu2 Ni1 W1 O6
Cubic,10,4,K1 Nd1 Zr2 O6
Cubic,5,3,Mn1 In1 F3
Cubic,10,4,Rb2 Na1 V1 Cl6
Cubic,10,4,Sr2 Tb1 Zr1 O6
Cubic,5,3,Ta1 Ru3 C1
Orthorhombic,20,3,Sm1 Ni1 O3
Cubic,5,3,Ca3 Sn1 O1
Trigonal,20,3,Sr1 Ni1 O3
Cubic,5,3,Rb3 Cl1 O1
Cubic,5,3,Cs1 K1 O3
Orthorhombic,20,3,La1 Ti1 O3
Cubic,10,4,Cs2 Rb1 Eu1 Cl6
Cubic,5,3,K1 Pd1 F3
Cubic,10,4,Cs2 Al1 In1 I6
Cubic,5,3,Cs1 Pb1 O3
Cubic,5,3,Si1 Pd1 O3
Orthorhombic,20,3,Ca1 W1 O3
Cubic,10,4,K2 Na1 Rh1 F6
Cubic,10,3,K3 As1 Cl6
Cubic,10,4,Ba2 Ca1 Mo1 O6
Cubic,10,4,K2 As1 Au1 Br6
Cubic,5,3,Cs1 U1 Br3
Cubic,10,4,Ba2 Sm1 Cr1 O6
Cubic,5,3,K1 Ta1 O3
Cubic,10,4,Rb2 Tl1 Rh1 F6
Monoclinic,20,4,La2 Mn1 V1 O6
Orthorhombic,20,3,La1 Sc1 O3
Cubic,5,3,Co1 Te1 O3
Cubic,5,3,Li1 Ac1 O3
Cubic,5,3,Er1 Cu1 O3
Cubic,10,4,Rb2 Na1 Ga1 Cl6
Cubic,5,3,Rb1 Ru1 O3
Cubic,10,4,Sr2 Pr1 V1 O6
Cubic,5,3,K1 Au1 O3
Cubic,5,3,Y1 Ag1 O3
Orthorhombic,20,3,Sr3 Ge1 O1
Cubic,10,4,Cs2 Ce1 Ag1 Cl6
Cubic,10,4,Sr2 Tb1 Nb1 O6
Cubic,5,3,Ba1 Pd1 O3
Monoclinic,20,4,Sr2 Gd1 Bi1 O6
Orthorhombic,20,3,Sc1 Bi1 O3
Cubic,10,4,Sr2 Sm1 Fe1 O6
Cubic,5,3,Pr1 Nb1 O3
Cubic,10,4,Ba1 Sr1 Sn2 O6
Cubic,5,3,Er1 Cu1 O3
Cubic,10,4,Rb2 Na1 Ga1 Cl6
Cubic,5,3,Rb1 Ru1 O3
Cubic,10,4,Sr2 Pr1 V1 O6
Cubic,10,4,Ba2 Er1 Ta1 O6
Cubic,5,3,Dy1 Sb1 O3
Orthorhombic,60,4,Sr1 Nd2 Mn3 O9
Cubic,10,4,Cs2 Na1 Er1 F6
Cubic,5,3,Al1 Sb1 O3
Cubic,10,4,Mg1 Pb2 W1 O6
Monoclinic,34,3,Ba4 Ir3 O10
Cubic,5,3,Mn3 Sn1 C1
Cubic,5,3,Cr3 Ga1 N1
Cubic,5,3,Lu1 B1 Pd3
Cubic,10,4,Sr2 Ga1 Bi1 O6
Orthorhombic,20,3,Gd1 Mn1 O3
Monoclinic,40,4,Sr2 Co1 Re1 O6
Cubic,5,3,V1 Pt1 O3
Orthorhombic,20,3,Tb1 Rh1 O3
Orthorhombic,20,3,Li1 V1 F3
Monoclinic,60,4,Sr3 Ca1 Ru2 O9
Cubic,10,4,Cs2 Nd1 Au1 Cl6
Cubic,10,4,Na1 La1 Zr2 O6
Cubic,5,3,Rb1 Pb1 Cl3
Cubic,10,4,K1 Rb2 Pd1 F6
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,5,3,Er1 Cu1 O3
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,Rb2 Na1 Ga1 Cl6
Cubic,5,3,Rb1 Ru1 O3
Cubic,10,4,Sr2 Pr1 V1 O6
Cubic,5,3,K1 Re1 O3
Cubic,10,4,Cs2 Li1 Ta1 I6
Orthorhombic,20,3,Ca1 Ni1 O3
Cubic,10,4,K1 Gd1 Nb2 O6
Cubic,5,3,Pd3 Pb1 C1
Cubic,5,3,K1 Ni1 F3
Cubic,10,4,Rb2 Li1 Ce1 Br6
Monoclinic,20,4,Sr2 Er1 Ru1 O6
Cubic,10,4,Cs2 Sc1 Ag1 Br6
Cubic,5,3,Ac1 Cu1 O3
Cubic,10,4,Rb2 Gd1 Ag1 Cl6
Cubic,5,3,Gd3 In1 N1
Cubic,10,4,K2 Na1 Tm1 Cl6
Cubic,10,3,K3 Mo1 Cl6
Cubic,10,4,K2 Li1 Mn1 F6
Cubic,10,4,Cs2 Na1 Pr1 Cl6
Tetragonal,10,3,Rb1 Ag1 F3
Cubic,10,3,Na3 Pd1 F6
Cubic,10,4,Cs2 In1 Cu1 Br6
Cubic,5,3,Nd1 Np1 O3
Cubic,5,3,Yb1 Nb1 O3
Cubic,40,4,Sr2 Fe1 Sb1 O6
Cubic,10,4,Cs2 Ag1 Ir1 F6
Cubic,5,3,Tl1 Co1 F3
Cubic,10,4,Eu2 Mn1 W1 O6
Cubic,5,3,Yb1 Zn1 O3
Orthorhombic,40,3,Nb1 Ag1 O3
Cubic,10,3,Fe1 Ag3 F6
Monoclinic,20,4,Li1 Nd2 Ir1 O6
Tetragonal,10,4,Ba1 La1 Mn2 O6
Cubic,10,3,Sr1 Co1 O3
Orthorhombic,20,3,Gd1 Lu1 O3
Cubic,10,4,K2 In1 Ga1 I6
Cubic,5,3,Ac1 Cr1 O3
Monoclinic,20,4,Sr2 Y1 Sb1 O6
Cubic,10,4,Cs2 Li1 In1 Br6
Cubic,5,3,Ti1 Fe3 N1
Cubic,5,3,Rb1 Cu1 Br3
Cubic,10,4,Cs2 Y1 Tl1 I6
Cubic,10,4,K2 Li1 Sm1 Cl6
Cubic,10,4,K1 Zr2 Bi1 O6
Cubic,10,4,K2 Na1 Er1 Cl6
Orthorhombic,20,3,Ba1 U1 O3
Cubic,10,4,Na1 Sr2 Mn1 O6
Monoclinic,20,4,Ba2 Ca1 U1 O6
Cubic,5,3,Nb1 Tl1 O3
Orthorhombic,20,3,Sr1 Zr1 S3
Cubic,5,3,Er3 Sn1 C1
Cubic,5,3,Cs1 Hg1 F3
Cubic,10,4,Rb2 Eu1 Cu1 Cl6
Cubic,10,3,Sr1 Ni1 O3
Cubic,5,3,K3 I1 O1
Monoclinic,60,4,La3 Ta1 Co2 O9
Cubic,10,4,K2 Na1 Sb1 Cl6
Cubic,10,4,K2 Li1 La1 Cl6
Cubic,10,4,Cs2 Nb1 Ag1 F6
Cubic,10,4,Cs2 Y1 Cu1 F6
Cubic,10,4,Cs2 Ag1 Au1 Br6
Cubic,10,4,K1 Rb2 Al1 I6
Cubic,10,4,K2 Li1 Ta1 Cl6
Cubic,5,3,Li1 Er1 O3
Cubic,10,4,Cs2 Bi1 Au1 Cl6
Tetragonal,5,4,Cs1 Hg1 Br2 Cl1
Monoclinic,20,4,Sr2 Y1 Ru1 O6
Orthorhombic,20,3,Sc1 Co1 O3
Cubic,5,3,Ac1 Ga1 O3
Cubic,5,3,Bi1 Pt1 O3
Orthorhombic,20,3,Sm1 Tm1 O3
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,5,3,Er1 Cu1 O3
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,Rb2 Na1 Ga1 Cl6
Cubic,5,3,Rb1 Ru1 O3
Cubic,5,3,La1 Ta1 O3
Cubic,10,4,Rb2 Y1 Hg1 F6
Cubic,5,3,Eu1 Hg1 O3
Cubic,5,3,Gd1 Cu1 O3
Trigonal,16,3,Ba3 Yb4 O9
Cubic,5,3,Np1 Si1 O3
Cubic,10,4,Eu2 Fe1 Sn1 O6
Cubic,10,4,K1 Ba2 I1 O6
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,Rb2 Na1 Ga1 Cl6
Cubic,5,3,Rb1 Ru1 O3
Cubic,10,4,Sr2 Pr1 V1 O6
Cubic,10,4,Cs2 Na1 Sm1 F6
Cubic,5,3,Er1 Al1 O3
Cubic,10,4,Ba2 Ho1 U1 O6
Cubic,10,4,K2 Li1 Cu1 F6
Orthorhombic,20,3,Tm1 Ti1 O3
Cubic,10,4,Ba2 Mg1 Re1 O6
Cubic,5,3,Yb1 Re1 O3
Cubic,40,4,Ba2 Pr1 Zr1 O6
Cubic,5,3,Fe3 Pt1 N1
Cubic,10,4,Sr2 Eu1 Bi1 O6
Cubic,5,3,Mn3 Ge1 C1
Cubic,5,3,Rb1 Ca1 F3
Cubic,5,3,Cs1 Sn1 I3
Cubic,5,3,Fe3 Ni1 N1
Cubic,5,3,Zr1 Os1 O3
Cubic,10,4,Eu2 V1 W1 O6
Cubic,5,3,Cs1 Pd1 Br3
Cubic,10,4,Cs2 Li1 Ta1 Br6
Cubic,10,4,Na2 Li1 Y1 F6
Cubic,10,4,Cs2 Li1 Tl1 Br6
Cubic,10,4,Rb2 Na1 Pr1 Br6
Cubic,10,4,Rb2 Tl1 Au1 F6
Orthorhombic,20,3,Ba3 Si1 O1
Cubic,10,4,Cs2 Na1 Ga1 Cl6
Cubic,10,4,Cs2 Er1 Ag1 Cl6
Cubic,10,4,Rb2 Y1 Tl1 F6
Cubic,5,3,Eu1 Lu1 O3
Cubic,5,3,K1 Cd1 N3
Monoclinic,20,4,Li1 La2 Re1 O6
Orthorhombic,20,4,La1 Pr1 Mn2 O6
Cubic,10,4,Rb2 Li1 Pr1 I6
Cubic,5,3,Yb1 Mg1 O3
Cubic,10,3,Li3 Co1 F6
Cubic,5,3,Lu3 In1 C1
Cubic,10,3,Cs3 Au1 Br6
Cubic,10,4,Cs2 Na1 Pb1 F6
Cubic,10,4,Re1 Ni1 Pb2 O6
Cubic,10,4,Ba2 Ce1 W1 O6
Monoclinic,20,4,Sr2 Co1 Sb1 O6
Monoclinic,40,4,Ca2 Fe1 Ir1 O6
Monoclinic,20,4,Na2 Li1 Al1 H6
Cubic,5,3,Sr1 Ru1 O3
Cubic,40,4,K9 U6 Bi1 O24
Cubic,10,4,Sr2 Ho1 Re1 O6
Cubic,10,4,Rb2 Ta1 Ag1 Br6
Cubic,10,4,K2 Li1 Mo1 F6
Cubic,10,4,Cs2 Tm1 Cu1 Cl6
Cubic,10,4,Cs2 Na1 U1 Cl6
Cubic,10,4,K2 Tl1 As1 Cl6
Cubic,10,4,Cs2 Rb1 In1 I6
Cubic,10,4,Rb2 Tl1 Ag1 Br6
Cubic,10,4,Rb2 Ga1 Hg1 Br6
Cubic,10,4,Sr2 In1 Bi1 O6
Cubic,10,4,Rb2 Tl1 As1 Br6
Cubic,10,4,Rb2 Ga1 Cu1 F6
Cubic,5,3,Th1 B1 O3
Cubic,5,3,Ce1 Ru3 C1
Cubic,10,4,K2 Na1 Ta1 Cl6
Cubic,5,3,Ce3 Sn1 N1
Orthorhombic,20,3,K1 Dy1 Br3
Cubic,5,3,Mn3 Zn1 C1
Cubic,10,4,Rb2 Hg1 As1 Cl6
Cubic,40,4,Sr2 Ce1 Nb1 O6
Tetragonal,10,4,Ba2 Ca1 W1 O6
Cubic,10,4,Rb2 Cu1 Ni1 F6
Cubic,5,3,Nd3 Pb1 N1
Monoclinic,20,4,Sr2 Lu1 Ru1 O6
Cubic,10,4,Rb2 Na1 In1 I6
Orthorhombic,20,3,Sr1 Sn1 O3
Cubic,10,4,K2 Na1 Tl1 Cl6
Cubic,5,3,Cs1 Cd1 Cl3
Cubic,5,3,Er1 Cu1 O3
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,Rb2 Na1 Ga1 Cl6
Cubic,5,3,Rb1 Ru1 O3
Cubic,5,3,Tb3 In1 N1
Cubic,10,4,Rb2 Na1 As1 F6
Cubic,10,4,Ba2 Ta1 Co1 O6
Cubic,10,3,K3 Au1 Cl6
Cubic,10,4,Cs2 Al1 Ag1 Br6
Cubic,10,4,K2 Cu1 Bi1 Br6
Cubic,5,3,Na1 Ag1 O3
Cubic,5,3,U1 Re1 O3
Cubic,10,4,Cs2 Tl1 Bi1 Br6
Orthorhombic,20,3,Eu1 U1 O3
Cubic,5,3,Lu1 Re1 O3
Cubic,10,4,Cs2 K1 Y1 Br6
Cubic,10,4,Cs2 Sc1 In1 I6
Orthorhombic,20,3,Mg1 W1 O3
Cubic,10,4,Rb2 Y1 Hg1 Cl6
Cubic,5,3,Be1 In1 O3
Cubic,10,4,Sr2 Eu1 V1 O6
Cubic,5,3,K1 Zn1 O3
Cubic,10,4,Eu2 Y1 W1 O6
Cubic,5,3,Sb1 Au1 O3
Orthorhombic,20,3,U1 Cr1 S3
Cubic,20,4,Ba2 Ta1 Fe1 O6
Orthorhombic,20,3,Tm1 Co1 O3
Orthorhombic,20,3,Ce1 Rh1 O3
Cubic,5,3,Er1 Cu1 O3
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,Rb2 Na1 Ga1 Cl6
Cubic,5,3,Rb1 Ru1 O3
Cubic,10,4,Sr2 Pr1 V1 O6
Orthorhombic,20,4,Sr1 Ca1 Ru2 O6
Cubic,5,3,Cs1 Au1 Br3
Cubic,5,3,Nd3 In1 N1
Cubic,5,3,K1 Mg1 H3
Cubic,10,4,Sr2 Ti1 Bi1 O6
Cubic,5,3,La3 Al1 N1
Orthorhombic,20,3,Y1 W1 O3
Cubic,40,4,Ba2 Co1 Re1 O6
Cubic,10,4,Cs2 Ag1 As1 Cl6
Cubic,5,3,Cs1 Yb1 F3
Cubic,5,3,Rb1 W1 O3
Tetragonal,40,4,Sr2 Ti1 Mn1 O6
Orthorhombic,60,4,Ca2 Y1 Mn3 O9
Cubic,10,4,K2 Li1 Fe1 F6
Cubic,5,3,Eu1 Zr1 O3
Cubic,10,4,K1 Rb2 Au1 F6
Cubic,5,3,Cu1 Hg1 O3
Cubic,10,4,Ba2 Yb1 Mo1 O6
Cubic,40,4,Ba2 Nd1 Bi1 O6
Cubic,10,4,Ba2 Nd1 Bi1 O6
Cubic,5,3,Cd1 Ni3 C1
Cubic,5,3,Rb1 Mn1 O3
Cubic,10,4,Sr2 Ni1 Bi1 O6
Cubic,10,4,Cs2 K1 Ag1 F6
Cubic,10,4,Ba2 Ce1 Sn1 O6
Orthorhombic,28,3,Mg1 Ag2 O4
Cubic,10,4,Sr2 Y1 W1 O6
Cubic,10,4,Sr2 Ca1 W1 O6
Orthorhombic,20,3,Dy1 Sc1 O3
Orthorhombic,24,3,Tl2 Sn1 O3
Cubic,10,4,Cs2 K1 Tb1 Cl6
Orthorhombic,20,3,Cd1 Co1 O3
Cubic,10,4,K2 La1 Au1 Cl6
Cubic,10,4,Cs2 In1 Hg1 I6
Cubic,5,3,Dy1 Sn1 O3
Orthorhombic,20,3,Na1 V1 F3
Cubic,5,3,B1 Sb1 O3
Cubic,5,3,Er1 Cu1 O3
Cubic,10,4,Rb2 Na1 Ga1 Cl6
Cubic,5,3,Rb1 Ru1 O3
Cubic,10,4,Sr2 Pr1 V1 O6
Cubic,5,3,Ni1 Pt1 O3
Cubic,10,4,Cs2 K1 Sb1 Br6
Cubic,10,4,Ba2 Y1 Mo1 O6
Cubic,5,3,Np1 Be1 O3
Tetragonal,10,4,Sr2 Nb1 Fe1 O6
Cubic,10,4,Cs2 Ce1 Ag1 F6
Cubic,5,3,Er1 Be1 O3
Cubic,10,4,Rb2 Tl1 Bi1 F6
Orthorhombic,20,3,Ba1 Zr1 S3
Cubic,10,4,Sr2 Ho1 U1 O6
Cubic,5,3,Pr3 Ga1 C1
Orthorhombic,20,3,Tb1 Co1 O3
Cubic,10,4,K2 Pr1 Cu1 I6
Cubic,5,3,Eu1 Os1 O3
Orthorhombic,20,4,Ca1 Ta1 N1 O2
Tetragonal,50,4,Sr4 Ca1 Fe5 O15
Cubic,5,3,Sr3 Sb1 N1
Cubic,5,3,K1 Ba1 O3
Cubic,5,3,Mn1 Tl1 F3
Cubic,10,4,K2 Ga1 Ag1 Cl6
Cubic,10,4,K2 Na1 In1 I6
Orthorhombic,20,3,Li1 Mn1 F3
Cubic,5,3,K1 Rb1 O3
Cubic,5,3,Ho1 Ge1 O3
Cubic,5,3,Sr1 Tm1 O3
Cubic,10,4,Cs2 Li1 Dy1 Cl6
Cubic,10,4,Yb1 Ta1 Pb2 O6
Cubic,5,3,Cs1 Na1 O3
Cubic,10,4,Cs2 Hg1 Sb1 Cl6
Cubic,5,3,Yb1 Si1 O3
Cubic,5,3,Er1 Cu1 O3
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,Rb2 Na1 Ga1 Cl6
Cubic,5,3,Rb1 Ru1 O3
Cubic,10,4,Sr2 Pr1 V1 O6
Cubic,5,3,Be1 Re1 O3
Trigonal,11,5,Na1 Mg1 Ti2 Bi1 O6
Cubic,5,3,Sr1 Yb1 O3
Orthorhombic,36,3,Cs1 In3 O5
Cubic,10,4,Eu2 Ni1 Bi1 O6
Cubic,5,3,Sm3 Pb1 C1
Orthorhombic,20,3,K3 Cl1 O1
Orthorhombic,20,3,Tb1 Mn1 O3
Tetragonal,20,4,Sr4 Fe3 Mo1 O12
Tetragonal,10,3,K1 Cu1 F3
Cubic,10,4,Ba2 Yb1 Ta1 O6
Cubic,10,4,K1 Rb2 Sc1 F6
Cubic,10,4,Cs2 Ga1 Cu1 Cl6
Cubic,5,3,Nd3 In1 C1
Cubic,5,3,Dy1 Cu1 O3
Cubic,10,4,Cs2 Na1 Ga1 H6
Cubic,5,3,La1 Mg1 O3
Cubic,10,4,Ba2 U1 In1 O6
Monoclinic,20,4,Sr2 Sm1 Ta1 O6
Monoclinic,20,4,La2 Mg1 Nb1 O6
Tetragonal,10,4,Mn6 Zn2 C1 N1
Cubic,10,4,Na2 Li1 N1 F6
Orthorhombic,20,3,Ti1 Cd1 O3
Cubic,10,3,K3 Bi1 F6
Cubic,10,3,Li3 Ga1 F6
Cubic,10,4,Cs2 K1 As1 Cl6
Cubic,5,3,Sm1 Ni1 O3
Cubic,10,4,Cs2 Lu1 Ag1 Cl6
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,5,3,Er1 Cu1 O3
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,Rb2 Na1 Ga1 Cl6
Cubic,5,3,Rb1 Ru1 O3
Cubic,10,4,Sr2 Pr1 V1 O6
Cubic,10,4,Rb2 Sb1 Au1 I6
Cubic,5,3,Ca1 Sn1 S3
Cubic,5,3,Sr1 Ho1 O3
Cubic,10,4,Ca6 Sn2 N1 F1
Cubic,10,4,Cs2 Li1 Tm1 Cl6
Cubic,10,4,Rb2 Li1 Mn1 F6
Cubic,40,4,Sr2 Zr1 Cr1 O6
Cubic,10,4,Rb2 Li1 Ta1 F6
Cubic,10,4,Cs2 Rb1 Ta1 F6
Cubic,10,4,K1 Rb2 Au1 Br6
Cubic,10,4,Rb2 Na1 Tb1 Cl6
Orthorhombic,20,3,Ca1 Hf1 S3
Cubic,10,4,La2 Mg1 Nb1 O6
Cubic,10,4,Ba2 Sm1 U1 O6
Monoclinic,20,4,Nd2 Co1 Ni1 O6
Cubic,10,4,Cs2 Ag1 As1 F6
Cubic,10,4,Rb2 Na1 Nd1 F6
Cubic,5,3,Mg1 Hg1 O3
Cubic,10,4,Sr2 Ce1 Hf1 O6
Cubic,5,3,Rb1 Na1 O3
Monoclinic,20,4,Ca2 Sc1 Os1 O6
Cubic,5,3,Al1 Pb1 O3
Cubic,10,4,Rb2 Pd1 Au1 F6
Cubic,10,4,K2 Li1 Ce1 I6
Cubic,10,4,Cs2 Na1 Sc1 I6
Cubic,10,4,Cs2 Rb1 Gd1 Cl6
Cubic,10,4,Cs2 Eu1 Cu1 Cl6
Cubic,10,3,Na3 Ru1 F6
Cubic,5,3,Ba1 Tl1 O3
Cubic,10,4,Na1 Eu1 Zr2 O6
Monoclinic,20,4,Li1 Sm2 Ir1 O6
Cubic,5,3,Mg1 Tl1 O3
Cubic,10,4,Nb1 Ga1 Pb2 O6
Cubic,10,4,Sr2 Nd1 V1 O6
Cubic,10,4,Ba2 Ho1 Ta1 O6
Cubic,10,4,Ca2 Dy1 Sb1 O6
Cubic,10,4,K1 Rb2 Bi1 F6
Cubic,10,4,Sr2 Zn1 Mo1 O6
Cubic,5,3,Si1 Mo1 O3
Orthorhombic,20,3,Ca1 V1 O3
Cubic,10,4,Ba2 Tb1 Ce1 O6
Orthorhombic,20,3,Cs1 Eu1 Br3
Cubic,10,4,K2 Na1 Pr1 F6
Monoclinic,20,4,Sr2 Zn1 Re1 O6
Orthorhombic,20,3,Tb1 Lu1 O3
Orthorhombic,20,3,Ho1 Fe1 O3
Cubic,5,3,Tm3 In1 C1
Monoclinic,20,4,Sr2 Sc1 Ta1 O6
Orthorhombic,20,3,Sr1 Hf1 O3
Cubic,5,3,Na1 Mg1 O3
Cubic,5,3,Zn1 B1 O3
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,5,3,Er1 Cu1 O3
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,Rb2 Na1 Ga1 Cl6
Cubic,5,3,Rb1 Ru1 O3
Cubic,10,4,Sr2 Pr1 V1 O6
Orthorhombic,20,3,Tm1 Sc1 O3
Cubic,5,3,Ti1 Pb1 O3
Cubic,10,4,Ca2 Ti1 Si1 O6
Cubic,10,4,Ba2 Y1 Sb1 O6
Cubic,10,3,Rb1 In1 F3
Cubic,5,3,Lu1 V1 O3
Cubic,5,3,Np1 Ti1 O3
Cubic,10,4,Cs2 Na1 Al1 H6
Cubic,10,4,K2 Ag1 Au1 Br6
Orthorhombic,40,5,Na3 Tb1 Ti2 Nb2 O12
Cubic,5,3,Eu1 Er1 O3
Cubic,10,4,Rb2 Na1 Bi1 Br6
Cubic,5,3,K1 Pa1 O3
Cubic,10,4,Cs2 Ag1 Au1 F6
Cubic,10,4,Na1 Nd1 Hf2 O6
Monoclinic,20,4,Sr2 Tm1 Ru1 O6
Cubic,10,4,Rb2 Li1 Y1 F6
Cubic,40,4,Sr2 Gd1 Nb1 O6
Cubic,10,4,Na2 Li1 Al1 H6
Cubic,5,3,Pu1 In1 O3
Orthorhombic,20,3,Co1 Te1 O3
Orthorhombic,20,3,Na1 Zn1 F3
Cubic,10,4,Cs2 Li1 Bi1 Cl6
Cubic,5,3,Ta1 Be1 O3
Cubic,5,3,Dy3 Sn1 C1
Orthorhombic,20,3,Mn1 Bi1 O3
Cubic,10,4,Cs2 Na1 Nd1 Br6
Cubic,10,4,Rb2 Li1 Mo1 Cl6
Cubic,10,4,Rb2 Li1 Sb1 I6
Cubic,10,4,K2 Cu1 Au1 F6
Cubic,10,4,Rb2 Ga1 Ag1 I6
Cubic,10,4,Cs2 Ta1 Ag1 Br6
Cubic,10,4,Na2 Li1 Mn1 F6
Cubic,10,4,Cs2 Ta1 Ag1 I6
Cubic,10,4,Cs2 Rb1 Al1 Cl6
Cubic,5,3,Cs1 La1 O3
Cubic,10,4,Cs2 K1 Gd1 Cl6
Tetragonal,20,4,Sr2 Ti1 Mn1 O6
Cubic,10,4,K1 Rb2 Al1 Br6
Cubic,5,3,La1 Al1 O3
Cubic,10,4,Ba1 La1 Mn2 O6
Orthorhombic,20,3,Fe1 Sn1 O3
Cubic,10,4,Ba2 Pr1 Nb1 O6
Cubic,5,3,Mo1 Pb1 O3
Tetragonal,20,3,Sr1 Co1 O3
Cubic,5,3,Pu1 Sb1 O3
